image,modality,split
cell_00001.bmp,Brightfield,train
cell_00002.bmp,Brightfield,train
cell_00003.bmp,Brightfield,train
cell_00004.bmp,Brightfield,train
cell_00005.bmp,Brightfield,train
cell_00006.bmp,Brightfield,train
cell_00007.bmp,Brightfield,train
cell_00008.bmp,Brightfield,train
cell_00009.bmp,Brightfield,train
cell_00010.bmp,Brightfield,train
cell_00011.bmp,Brightfield,train
cell_00012.bmp,Brightfield,train
cell_00013.png,Brightfield,train
cell_00014.png,Brightfield,train
cell_00015.bmp,Brightfield,train
cell_00016.bmp,Brightfield,train
cell_00017.bmp,Brightfield,train
cell_00018.bmp,Brightfield,train
cell_00019.bmp,Brightfield,train
cell_00020.bmp,Brightfield,train
cell_00021.bmp,Brightfield,train
cell_00022.bmp,Brightfield,train
cell_00023.bmp,Brightfield,train
cell_00024.bmp,Brightfield,train
cell_00025.bmp,Brightfield,train
cell_00026.bmp,Brightfield,train
cell_00027.bmp,Brightfield,train
cell_00028.bmp,Brightfield,train
cell_00029.bmp,Brightfield,train
cell_00030.bmp,Brightfield,train
cell_00031.bmp,Brightfield,train
cell_00032.bmp,Brightfield,train
cell_00033.bmp,Brightfield,train
cell_00034.bmp,Brightfield,train
cell_00035.bmp,Brightfield,train
cell_00036.bmp,Brightfield,train
cell_00037.bmp,Brightfield,train
cell_00038.bmp,Brightfield,train
cell_00039.bmp,Brightfield,train
cell_00040.bmp,Brightfield,train
cell_00041.bmp,Brightfield,train
cell_00042.bmp,Brightfield,train
cell_00043.bmp,Brightfield,train
cell_00044.bmp,Brightfield,train
cell_00045.bmp,Brightfield,train
cell_00046.bmp,Brightfield,train
cell_00047.bmp,Brightfield,train
cell_00048.bmp,Brightfield,train
cell_00049.bmp,Brightfield,train
cell_00050.bmp,Brightfield,train
cell_00051.bmp,Brightfield,train
cell_00052.bmp,Brightfield,train
cell_00053.bmp,Brightfield,train
cell_00054.bmp,Brightfield,train
cell_00055.bmp,Brightfield,train
cell_00056.bmp,Brightfield,train
cell_00057.bmp,Brightfield,train
cell_00058.bmp,Brightfield,train
cell_00059.bmp,Brightfield,train
cell_00060.bmp,Brightfield,train
cell_00061.bmp,Brightfield,train
cell_00062.bmp,Brightfield,train
cell_00063.bmp,Brightfield,train
cell_00064.bmp,Brightfield,train
cell_00065.bmp,Brightfield,train
cell_00066.bmp,Brightfield,train
cell_00067.bmp,Brightfield,train
cell_00068.bmp,Brightfield,train
cell_00069.bmp,Brightfield,train
cell_00070.bmp,Brightfield,train
cell_00071.bmp,Brightfield,train
cell_00072.bmp,Brightfield,train
cell_00073.bmp,Brightfield,train
cell_00074.bmp,Brightfield,train
cell_00075.bmp,Brightfield,train
cell_00076.bmp,Brightfield,train
cell_00077.bmp,Brightfield,train
cell_00078.bmp,Brightfield,train
cell_00079.bmp,Brightfield,train
cell_00080.bmp,Brightfield,train
cell_00081.bmp,Brightfield,train
cell_00082.bmp,Brightfield,train
cell_00083.bmp,Brightfield,train
cell_00084.bmp,Brightfield,train
cell_00085.bmp,Brightfield,train
cell_00086.bmp,Brightfield,train
cell_00087.bmp,Brightfield,train
cell_00088.bmp,Brightfield,train
cell_00089.bmp,Brightfield,train
cell_00090.bmp,Brightfield,train
cell_00091.bmp,Brightfield,train
cell_00092.bmp,Brightfield,train
cell_00093.bmp,Brightfield,train
cell_00094.bmp,Brightfield,train
cell_00095.bmp,Brightfield,train
cell_00096.bmp,Brightfield,train
cell_00097.bmp,Brightfield,train
cell_00098.bmp,Brightfield,train
cell_00099.bmp,Brightfield,train
cell_00100.bmp,Brightfield,train
cell_00101.bmp,Brightfield,train
cell_00102.bmp,Brightfield,train
cell_00103.bmp,Brightfield,train
cell_00104.bmp,Brightfield,train
cell_00105.bmp,Brightfield,train
cell_00106.bmp,Brightfield,train
cell_00107.bmp,Brightfield,train
cell_00108.bmp,Brightfield,train
cell_00109.bmp,Brightfield,train
cell_00110.bmp,Brightfield,train
cell_00111.bmp,Brightfield,train
cell_00112.bmp,Brightfield,train
cell_00113.bmp,Brightfield,train
cell_00114.bmp,Brightfield,train
cell_00115.bmp,Brightfield,train
cell_00116.bmp,Brightfield,train
cell_00117.bmp,Brightfield,train
cell_00118.bmp,Brightfield,train
cell_00119.bmp,Brightfield,train
cell_00120.bmp,Brightfield,train
cell_00121.bmp,Brightfield,train
cell_00122.bmp,Brightfield,train
cell_00123.bmp,Brightfield,train
cell_00124.bmp,Brightfield,train
cell_00125.bmp,Brightfield,train
cell_00126.bmp,Brightfield,train
cell_00127.bmp,Brightfield,train
cell_00128.bmp,Brightfield,train
cell_00129.bmp,Brightfield,train
cell_00130.bmp,Brightfield,train
cell_00131.bmp,Brightfield,train
cell_00132.bmp,Brightfield,train
cell_00133.bmp,Brightfield,train
cell_00134.bmp,Brightfield,train
cell_00135.bmp,Brightfield,train
cell_00136.bmp,Brightfield,train
cell_00137.bmp,Brightfield,train
cell_00138.bmp,Brightfield,train
cell_00139.bmp,Brightfield,train
cell_00140.bmp,Brightfield,train
cell_00141.bmp,Brightfield,train
cell_00142.tif,PC,train
cell_00143.tif,PC,train
cell_00144.tif,PC,train
cell_00145.png,Brightfield,train
cell_00146.png,Brightfield,train
cell_00147.png,Brightfield,train
cell_00148.png,Brightfield,train
cell_00149.png,Brightfield,train
cell_00150.png,Brightfield,train
cell_00151.png,Brightfield,train
cell_00152.png,Brightfield,train
cell_00153.png,Brightfield,train
cell_00154.png,Brightfield,train
cell_00155.png,Brightfield,train
cell_00156.png,Brightfield,train
cell_00157.png,Brightfield,train
cell_00158.png,Brightfield,train
cell_00159.png,Brightfield,train
cell_00160.png,Brightfield,train
cell_00161.png,Brightfield,train
cell_00162.png,Brightfield,train
cell_00163.png,Brightfield,train
cell_00164.png,Brightfield,train
cell_00165.png,Brightfield,train
cell_00166.png,Brightfield,train
cell_00167.png,Brightfield,train
cell_00168.png,Brightfield,train
cell_00169.png,Brightfield,train
cell_00170.png,Brightfield,train
cell_00171.png,Brightfield,train
cell_00172.png,Brightfield,train
cell_00173.png,Brightfield,train
cell_00174.png,Brightfield,train
cell_00175.png,Brightfield,train
cell_00176.png,Brightfield,train
cell_00177.png,Brightfield,train
cell_00178.png,Brightfield,train
cell_00179.png,Brightfield,train
cell_00180.png,Brightfield,train
cell_00181.png,Brightfield,train
cell_00182.png,Brightfield,train
cell_00183.png,Brightfield,train
cell_00184.png,Brightfield,train
cell_00185.png,Brightfield,train
cell_00186.png,Brightfield,train
cell_00187.png,Brightfield,train
cell_00188.png,Brightfield,train
cell_00189.png,Brightfield,train
cell_00190.png,Brightfield,train
cell_00191.png,Brightfield,train
cell_00192.png,Brightfield,train
cell_00193.png,Brightfield,train
cell_00194.png,Brightfield,train
cell_00195.png,Brightfield,train
cell_00196.png,Brightfield,train
cell_00197.png,Brightfield,train
cell_00198.png,Brightfield,train
cell_00199.png,Brightfield,train
cell_00200.png,Brightfield,train
cell_00201.png,Brightfield,train
cell_00202.png,Brightfield,train
cell_00203.png,Brightfield,train
cell_00204.png,Brightfield,train
cell_00205.png,Brightfield,train
cell_00206.png,Brightfield,train
cell_00207.png,Brightfield,train
cell_00208.png,Brightfield,train
cell_00209.png,Brightfield,train
cell_00210.png,Brightfield,train
cell_00211.png,Brightfield,train
cell_00212.png,Brightfield,train
cell_00213.png,Brightfield,train
cell_00214.png,Brightfield,train
cell_00215.png,Brightfield,train
cell_00216.png,Brightfield,train
cell_00217.png,Brightfield,train
cell_00218.png,Brightfield,train
cell_00219.png,Brightfield,train
cell_00220.png,Brightfield,train
cell_00221.png,Brightfield,train
cell_00222.png,Brightfield,train
cell_00223.png,Brightfield,train
cell_00224.png,Brightfield,train
cell_00225.png,Brightfield,train
cell_00226.png,Brightfield,train
cell_00227.png,Brightfield,train
cell_00228.png,Brightfield,train
cell_00229.png,Brightfield,train
cell_00230.png,Brightfield,train
cell_00231.tif,Brightfield,train
cell_00232.tif,Brightfield,train
cell_00233.tif,Brightfield,train
cell_00234.tif,Brightfield,train
cell_00235.tif,Brightfield,train
cell_00236.tif,Brightfield,train
cell_00237.tif,Brightfield,train
cell_00238.tif,Brightfield,train
cell_00239.tif,Brightfield,train
cell_00240.tif,Brightfield,train
cell_00241.tif,Brightfield,train
cell_00242.tif,Brightfield,train
cell_00243.tif,Brightfield,train
cell_00244.tif,Brightfield,train
cell_00245.tif,Brightfield,train
cell_00246.tif,Brightfield,train
cell_00247.tif,Brightfield,train
cell_00248.tif,Brightfield,train
cell_00249.tif,Brightfield,train
cell_00250.tif,Brightfield,train
cell_00251.tif,Brightfield,train
cell_00252.tif,Brightfield,train
cell_00253.tif,Brightfield,train
cell_00254.tif,Brightfield,train
cell_00255.tif,Brightfield,train
cell_00256.tif,Brightfield,train
cell_00257.tif,Brightfield,train
cell_00258.tif,Brightfield,train
cell_00259.tif,Brightfield,train
cell_00260.tif,Brightfield,train
cell_00261.tif,Brightfield,train
cell_00262.tif,Brightfield,train
cell_00263.tif,Brightfield,train
cell_00264.tif,Brightfield,train
cell_00265.tif,Brightfield,train
cell_00266.tif,Brightfield,train
cell_00267.tif,Brightfield,train
cell_00268.tif,Brightfield,train
cell_00269.tif,Brightfield,train
cell_00270.tif,Brightfield,train
cell_00271.tif,Brightfield,train
cell_00272.tif,Brightfield,train
cell_00273.tif,Brightfield,train
cell_00274.tif,Brightfield,train
cell_00275.tif,Brightfield,train
cell_00276.tif,Brightfield,train
cell_00277.tif,Brightfield,train
cell_00278.tif,Brightfield,train
cell_00279.tif,Brightfield,train
cell_00280.tif,Brightfield,train
cell_00281.tif,Brightfield,train
cell_00282.tif,Brightfield,train
cell_00283.tif,Brightfield,train
cell_00284.tif,Brightfield,train
cell_00285.tif,Brightfield,train
cell_00286.tif,Brightfield,train
cell_00287.tif,Brightfield,train
cell_00288.tif,Brightfield,train
cell_00289.tif,Brightfield,train
cell_00290.tif,Brightfield,train
cell_00291.tif,Brightfield,train
cell_00292.tif,Brightfield,train
cell_00293.tif,Brightfield,train
cell_00294.tif,Brightfield,train
cell_00295.tif,Brightfield,train
cell_00296.tif,Brightfield,train
cell_00297.tif,Brightfield,train
cell_00298.tif,Brightfield,train
cell_00299.tif,Brightfield,train
cell_00300.tif,Brightfield,train
cell_00301.tiff,DIC,train
cell_00302.tiff,DIC,train
cell_00303.tiff,DIC,train
cell_00304.tiff,DIC,train
cell_00305.tiff,DIC,train
cell_00306.tiff,DIC,train
cell_00307.tiff,DIC,train
cell_00308.tiff,DIC,train
cell_00309.tiff,DIC,train
cell_00310.tiff,DIC,train
cell_00311.tiff,DIC,train
cell_00312.tiff,DIC,train
cell_00313.tiff,DIC,train
cell_00314.tiff,DIC,train
cell_00315.tiff,DIC,train
cell_00316.tiff,DIC,train
cell_00317.tif,DIC,train
cell_00318.tif,DIC,train
cell_00319.tif,DIC,train
cell_00320.tif,DIC,train
cell_00321.tif,DIC,train
cell_00322.tif,DIC,train
cell_00323.tif,DIC,train
cell_00324.tif,DIC,train
cell_00325.tif,DIC,train
cell_00326.tif,DIC,train
cell_00327.tif,DIC,train
cell_00328.tif,DIC,train
cell_00329.tif,DIC,train
cell_00330.tif,DIC,train
cell_00331.tif,DIC,train
cell_00332.tif,DIC,train
cell_00333.tif,DIC,train
cell_00334.tif,DIC,train
cell_00335.tif,DIC,train
cell_00336.tif,DIC,train
cell_00337.tif,DIC,train
cell_00338.tif,DIC,train
cell_00339.tif,DIC,train
cell_00340.tif,DIC,train
cell_00341.tif,DIC,train
cell_00342.tif,DIC,train
cell_00343.tif,DIC,train
cell_00344.tif,DIC,train
cell_00345.tif,DIC,train
cell_00346.tif,DIC,train
cell_00347.tif,DIC,train
cell_00348.tif,DIC,train
cell_00349.tif,DIC,train
cell_00350.tif,DIC,train
cell_00351.tif,DIC,train
cell_00352.tif,DIC,train
cell_00353.tif,DIC,train
cell_00354.tif,DIC,train
cell_00355.tif,DIC,train
cell_00356.tif,DIC,train
