image,modality,split
cell_00001.tiff,Brightfield,test
cell_00002.png,Brightfield,test
cell_00003.tiff,Brightfield,test
cell_00004.png,Brightfield,test
cell_00005.png,Brightfield,test
cell_00006.png,Brightfield,test
cell_00007.tiff,Brightfield,test
cell_00008.tiff,Brightfield,test
cell_00009.png,Brightfield,test
cell_00010.png,Brightfield,test
cell_00011.png,Brightfield,test
cell_00012.png,Brightfield,test
cell_00013.tiff,Brightfield,test
cell_00014.tiff,Brightfield,test
cell_00015.png,Brightfield,test
cell_00016.tiff,Brightfield,test
cell_00017.png,Brightfield,test
cell_00018.tiff,Brightfield,test
cell_00019.tiff,Brightfield,test
cell_00020.tiff,Brightfield,test
cell_00021.tiff,Brightfield,test
cell_00022.tiff,Brightfield,test
cell_00023.tiff,Brightfield,test
cell_00024.tiff,Brightfield,test
cell_00025.png,Brightfield,test
cell_00026.png,Brightfield,test
cell_00027.tiff,PC,test
cell_00028.tiff,PC,test
cell_00029.tiff,PC,test
cell_00030.tiff,PC,test
cell_00031.tiff,PC,test
cell_00032.tiff,PC,test
cell_00033.tiff,PC,test
cell_00034.tiff,PC,test
cell_00035.tiff,PC,test
cell_00036.tiff,PC,test
cell_00037.tiff,PC,test
cell_00038.tiff,PC,test
cell_00039.tiff,PC,test
cell_00040.png,Brightfield,test
cell_00041.png,Brightfield,test
cell_00042.png,Brightfield,test
cell_00043.png,Fluorescent,test
cell_00044.png,Fluorescent,test
cell_00045.png,Fluorescent,test
cell_00046.png,Fluorescent,test
cell_00047.png,Fluorescent,test
cell_00048.png,Fluorescent,test
cell_00049.png,Fluorescent,test
cell_00050.png,Fluorescent,test
cell_00051.png,Fluorescent,test
cell_00052.png,Fluorescent,test
cell_00053.png,Fluorescent,test
cell_00054.png,Fluorescent,test
cell_00055.png,Fluorescent,test
cell_00056.png,Fluorescent,test
cell_00057.png,Fluorescent,test
cell_00058.png,Fluorescent,test
cell_00059.png,Fluorescent,test
cell_00060.png,Fluorescent,test
cell_00061.png,Fluorescent,test
cell_00062.png,Fluorescent,test
cell_00063.png,Fluorescent,test
cell_00064.png,Fluorescent,test
cell_00065.png,Fluorescent,test
cell_00066.png,Fluorescent,test
cell_00067.png,Fluorescent,test
cell_00068.png,Fluorescent,test
cell_00069.png,Fluorescent,test
cell_00070.png,Brightfield,test
cell_00071.tif,PC,test
cell_00072.tif,PC,test
cell_00073.tif,PC,test
cell_00074.tif,PC,test
cell_00075.tif,PC,test
cell_00076.tif,PC,test
cell_00077.tif,PC,test
cell_00078.tif,PC,test
cell_00079.tif,DIC,test
cell_00080.tif,DIC,test
cell_00081.tif,DIC,test
cell_00082.tif,DIC,test
cell_00083.tif,DIC,test
cell_00084.tif,DIC,test
cell_00085.tif,DIC,test
cell_00086.tif,DIC,test
cell_00087.tif,DIC,test
cell_00088.tif,DIC,test
cell_00089.tif,DIC,test
cell_00090.tif,DIC,test
cell_00091.tif,DIC,test
cell_00092.tif,DIC,test
cell_00093.tif,DIC,test
cell_00094.tif,DIC,test
cell_00095.tif,DIC,test
cell_00096.tif,DIC,test
cell_00097.tif,DIC,test
cell_00098.tif,DIC,test
cell_00099.tif,PC,test
cell_00100.tif,PC,test
cell_00101.tif,Fluorescent,test
