image,modality,split
unlabeled_cell_00000.png,Brightfield,unlabeled
unlabeled_cell_00001.png,Brightfield,unlabeled
unlabeled_cell_00002.png,Brightfield,unlabeled
unlabeled_cell_00003.png,Brightfield,unlabeled
unlabeled_cell_00004.png,Brightfield,unlabeled
unlabeled_cell_00005.png,Brightfield,unlabeled
unlabeled_cell_00006.png,Brightfield,unlabeled
unlabeled_cell_00007.png,Brightfield,unlabeled
unlabeled_cell_00008.png,Brightfield,unlabeled
unlabeled_cell_00009.png,Brightfield,unlabeled
unlabeled_cell_00010.png,Brightfield,unlabeled
unlabeled_cell_00011.png,Brightfield,unlabeled
unlabeled_cell_00012.png,Brightfield,unlabeled
unlabeled_cell_00013.png,Brightfield,unlabeled
unlabeled_cell_00014.png,Brightfield,unlabeled
unlabeled_cell_00015.png,Brightfield,unlabeled
unlabeled_cell_00016.png,Brightfield,unlabeled
unlabeled_cell_00017.png,Brightfield,unlabeled
unlabeled_cell_00018.png,Brightfield,unlabeled
unlabeled_cell_00019.png,Brightfield,unlabeled
unlabeled_cell_00020.png,Brightfield,unlabeled
unlabeled_cell_00021.png,Brightfield,unlabeled
unlabeled_cell_00022.png,Brightfield,unlabeled
unlabeled_cell_00023.png,Brightfield,unlabeled
unlabeled_cell_00024.png,Brightfield,unlabeled
unlabeled_cell_00025.png,Brightfield,unlabeled
unlabeled_cell_00026.png,Brightfield,unlabeled
unlabeled_cell_00027.png,Brightfield,unlabeled
unlabeled_cell_00028.png,Brightfield,unlabeled
unlabeled_cell_00029.png,Brightfield,unlabeled
unlabeled_cell_00030.png,Brightfield,unlabeled
unlabeled_cell_00031.png,Brightfield,unlabeled
unlabeled_cell_00032.png,Brightfield,unlabeled
unlabeled_cell_00033.png,Brightfield,unlabeled
unlabeled_cell_00034.png,Brightfield,unlabeled
unlabeled_cell_00035.png,Brightfield,unlabeled
unlabeled_cell_00036.png,Brightfield,unlabeled
unlabeled_cell_00037.png,Brightfield,unlabeled
unlabeled_cell_00038.png,Brightfield,unlabeled
unlabeled_cell_00039.png,Brightfield,unlabeled
unlabeled_cell_00040.png,Brightfield,unlabeled
unlabeled_cell_00041.png,Brightfield,unlabeled
unlabeled_cell_00042.png,Brightfield,unlabeled
unlabeled_cell_00043.png,Brightfield,unlabeled
unlabeled_cell_00044.png,Brightfield,unlabeled
unlabeled_cell_00045.png,Brightfield,unlabeled
unlabeled_cell_00046.png,Brightfield,unlabeled
unlabeled_cell_00047.png,Brightfield,unlabeled
unlabeled_cell_00048.png,Brightfield,unlabeled
unlabeled_cell_00049.png,Brightfield,unlabeled
unlabeled_cell_00050.png,Brightfield,unlabeled
unlabeled_cell_00051.png,Brightfield,unlabeled
unlabeled_cell_00052.png,Brightfield,unlabeled
unlabeled_cell_00053.png,Brightfield,unlabeled
unlabeled_cell_00054.png,Brightfield,unlabeled
unlabeled_cell_00055.png,Brightfield,unlabeled
unlabeled_cell_00056.png,Brightfield,unlabeled
unlabeled_cell_00057.png,Brightfield,unlabeled
unlabeled_cell_00058.png,Brightfield,unlabeled
unlabeled_cell_00059.png,Brightfield,unlabeled
unlabeled_cell_00060.png,Brightfield,unlabeled
unlabeled_cell_00061.png,Brightfield,unlabeled
unlabeled_cell_00062.png,Brightfield,unlabeled
unlabeled_cell_00063.png,Brightfield,unlabeled
unlabeled_cell_00064.png,Brightfield,unlabeled
unlabeled_cell_00065.png,Brightfield,unlabeled
unlabeled_cell_00066.png,Brightfield,unlabeled
unlabeled_cell_00067.png,Brightfield,unlabeled
unlabeled_cell_00068.png,Brightfield,unlabeled
unlabeled_cell_00069.png,Brightfield,unlabeled
unlabeled_cell_00070.png,Brightfield,unlabeled
unlabeled_cell_00071.png,Brightfield,unlabeled
unlabeled_cell_00072.png,Brightfield,unlabeled
unlabeled_cell_00073.png,Brightfield,unlabeled
unlabeled_cell_00074.png,Brightfield,unlabeled
unlabeled_cell_00075.png,Brightfield,unlabeled
unlabeled_cell_00076.png,Brightfield,unlabeled
unlabeled_cell_00077.png,Brightfield,unlabeled
unlabeled_cell_00078.png,Brightfield,unlabeled
unlabeled_cell_00079.png,Brightfield,unlabeled
unlabeled_cell_00080.png,Brightfield,unlabeled
unlabeled_cell_00081.png,Brightfield,unlabeled
unlabeled_cell_00082.png,Brightfield,unlabeled
unlabeled_cell_00083.png,Brightfield,unlabeled
unlabeled_cell_00084.png,Brightfield,unlabeled
unlabeled_cell_00085.png,Brightfield,unlabeled
unlabeled_cell_00086.png,Brightfield,unlabeled
unlabeled_cell_00087.png,Brightfield,unlabeled
unlabeled_cell_00088.png,Brightfield,unlabeled
unlabeled_cell_00089.png,Brightfield,unlabeled
unlabeled_cell_00090.png,Brightfield,unlabeled
unlabeled_cell_00091.png,Brightfield,unlabeled
unlabeled_cell_00092.png,Brightfield,unlabeled
unlabeled_cell_00093.png,Brightfield,unlabeled
unlabeled_cell_00094.png,Brightfield,unlabeled
unlabeled_cell_00095.png,Brightfield,unlabeled
unlabeled_cell_00096.png,Brightfield,unlabeled
unlabeled_cell_00097.png,Brightfield,unlabeled
unlabeled_cell_00098.png,Brightfield,unlabeled
unlabeled_cell_00099.png,Brightfield,unlabeled
unlabeled_cell_00100.png,Brightfield,unlabeled
unlabeled_cell_00101.png,Brightfield,unlabeled
unlabeled_cell_00102.png,Brightfield,unlabeled
unlabeled_cell_00103.png,Brightfield,unlabeled
unlabeled_cell_00104.png,Brightfield,unlabeled
unlabeled_cell_00105.png,Brightfield,unlabeled
unlabeled_cell_00106.png,Brightfield,unlabeled
unlabeled_cell_00107.png,Brightfield,unlabeled
unlabeled_cell_00108.png,Brightfield,unlabeled
unlabeled_cell_00109.png,Brightfield,unlabeled
unlabeled_cell_00110.png,Brightfield,unlabeled
unlabeled_cell_00111.png,Brightfield,unlabeled
unlabeled_cell_00112.png,Brightfield,unlabeled
unlabeled_cell_00113.png,Brightfield,unlabeled
unlabeled_cell_00114.png,Brightfield,unlabeled
unlabeled_cell_00115.png,Brightfield,unlabeled
unlabeled_cell_00116.png,Brightfield,unlabeled
unlabeled_cell_00117.png,Brightfield,unlabeled
unlabeled_cell_00118.png,Brightfield,unlabeled
unlabeled_cell_00119.png,Brightfield,unlabeled
unlabeled_cell_00120.png,Brightfield,unlabeled
unlabeled_cell_00121.png,Brightfield,unlabeled
unlabeled_cell_00122.png,Brightfield,unlabeled
unlabeled_cell_00123.png,Brightfield,unlabeled
unlabeled_cell_00124.png,Brightfield,unlabeled
unlabeled_cell_00125.tif,Brightfield,unlabeled
unlabeled_cell_00126.tif,Brightfield,unlabeled
unlabeled_cell_00127.tif,Brightfield,unlabeled
unlabeled_cell_00128.tif,Brightfield,unlabeled
unlabeled_cell_00129.tif,Brightfield,unlabeled
unlabeled_cell_00130.tif,Brightfield,unlabeled
unlabeled_cell_00131.tif,Brightfield,unlabeled
unlabeled_cell_00132.tif,Brightfield,unlabeled
unlabeled_cell_00133.tif,Brightfield,unlabeled
unlabeled_cell_00134.tif,Brightfield,unlabeled
